MATLAB index,fpga,bank_index,in_bank_index,x,y
482,1,0,18,70.00000000000001,103.92304845413263
483,1,0,19,65.00000000000001,112.58330249197701
484,0,0,238,55.000000000000014,112.58330249197701
485,0,0,230,45.000000000000014,112.58330249197701
486,0,0,222,35.000000000000014,112.58330249197701
487,0,0,214,25.000000000000014,112.58330249197701
488,0,0,206,15.000000000000014,112.58330249197701
489,0,0,198,5.000000000000014,112.58330249197701
490,0,0,190,-4.999999999999986,112.58330249197701
491,0,0,182,-14.999999999999986,112.58330249197701
492,0,0,174,-24.999999999999986,112.58330249197701
493,0,0,166,-34.999999999999986,112.58330249197701
494,0,0,158,-44.999999999999986,112.58330249197701
495,0,0,150,-54.999999999999986,112.58330249197701
496,0,0,142,-64.99999999999999,112.58330249197701
497,0,0,143,-69.99999999999999,103.92304845413263
498,0,0,136,-75.0,95.26279441628824
499,0,0,137,-80.0,86.60254037844385
500,0,0,138,-85.0,77.94228634059947
501,0,0,139,-90.0,69.28203230275508
502,0,0,20,-95.0,60.6217782649107
503,0,0,21,-100.0,51.96152422706631
504,0,0,22,-105.0,43.301270189221924
505,0,0,23,-110.0,34.64101615137754
506,0,0,16,-115.0,25.980762113533157
507,0,0,17,-120.0,17.32050807568877
508,0,0,18,-125.0,8.660254037844386
509,0,0,19,-130.0,0.0
510,2,0,238,-125.0,-8.660254037844386
511,2,0,230,-120.0,-17.32050807568877
512,2,0,222,-115.0,-25.980762113533157
513,2,0,214,-110.0,-34.64101615137754
514,2,0,206,-105.0,-43.301270189221924
515,2,0,198,-100.0,-51.96152422706631
516,2,0,190,-95.0,-60.6217782649107
517,2,0,182,-90.0,-69.28203230275508
518,2,0,174,-85.0,-77.94228634059947
519,2,0,166,-80.0,-86.60254037844385
520,2,0,158,-75.0,-95.26279441628824
521,2,0,150,-70.00000000000001,-103.92304845413263
522,2,0,142,-65.00000000000001,-112.58330249197701
523,2,0,143,-55.000000000000014,-112.58330249197701
524,2,0,136,-45.000000000000014,-112.58330249197701
525,2,0,137,-35.000000000000014,-112.58330249197701
526,2,0,138,-25.000000000000014,-112.58330249197701
527,2,0,139,-15.000000000000014,-112.58330249197701
528,2,0,20,-5.000000000000014,-112.58330249197701
529,2,0,21,4.999999999999986,-112.58330249197701
530,2,0,22,14.999999999999986,-112.58330249197701
531,2,0,23,24.999999999999986,-112.58330249197701
532,2,0,16,34.999999999999986,-112.58330249197701
533,2,0,17,44.999999999999986,-112.58330249197701
534,2,0,18,54.999999999999986,-112.58330249197701
535,2,0,19,64.99999999999999,-112.58330249197701
536,1,0,238,69.99999999999999,-103.92304845413263
537,1,0,230,75.0,-95.26279441628824
538,1,0,222,80.0,-86.60254037844385
539,1,0,214,85.0,-77.94228634059947
540,1,0,206,90.0,-69.28203230275508
541,1,0,198,95.0,-60.6217782649107
542,1,0,190,100.0,-51.96152422706631
543,1,0,182,105.0,-43.301270189221924
544,1,0,174,110.0,-34.64101615137754
545,1,0,166,115.0,-25.980762113533157
546,1,0,158,120.0,-17.32050807568877
547,1,0,150,125.0,-8.660254037844386
548,1,0,133,140.0,0.0
549,1,0,134,135.0,8.660254037844386
550,1,0,135,130.0,17.32050807568877
551,1,0,128,125.0,25.980762113533157
552,1,0,129,120.0,34.64101615137754
553,1,0,130,115.0,43.301270189221924
554,1,0,131,110.0,51.96152422706631
555,1,0,12,105.0,60.6217782649107
556,1,0,13,100.0,69.28203230275508
557,1,0,14,95.0,77.94228634059947
558,1,0,15,90.0,86.60254037844385
559,1,0,8,85.0,95.26279441628824
560,1,0,9,80.00000000000001,103.92304845413263
561,1,0,10,75.00000000000001,112.58330249197701
562,1,0,11,70.00000000000001,121.2435565298214
563,0,0,237,60.000000000000014,121.2435565298214
564,0,0,229,50.000000000000014,121.2435565298214
565,0,0,221,40.000000000000014,121.2435565298214
566,0,0,213,30.000000000000014,121.2435565298214
567,0,0,205,20.000000000000014,121.2435565298214
568,0,0,197,10.000000000000014,121.2435565298214
